5 
1;0;2;0
2;0;3;0
99;99;99;99
2;0;4;0
99;99;99;99
6
1;0;2;0
99;99;99;99
3;0;4;0
99;99;99;99
3;0;5;0
99;99;99;99
7
1;0;2;0
5;0;6;0
3;0;4;0
99;99;99;99
99;99;99;99
99;99;99;99
99;99;99;99
8
1;0;5;0
99;99;99;99
3;0;4;0
6;0;7;0
99;99;99;99
2;0;6;0
99;99;99;99
99;99;99;99
9
1;0;5;0
3;0;6;0
99;99;99;99
99;99;99;99
7;0;8;0
2;0;4;0
3;0;7;0
99;99;99;99
99;99;99;99
10
1;0;4;0
6;0;8;0
99;99;99;99
99;99;99;99
3;0;5;0
7;0;9;0
3;0;7;0
99;99;99;99
2;0;7;0
99;99;99;99
11
1;1;2;1
3;1;7;0
3;1;5;1
8;0;9;1
99;99;99;99
4;1;6;1
4;0;10;0
99;99;99;99
99;99;99;99
5;1;8;0
99;99;99;99
